t,x,xdot,xddot,drag_aero,drag_hover,drag_brake,brakegap,Fload_brakes
0,0,0,0,-0,-0,-0,25,0
0.01,0.0004905,0.0981,9.81,-0,-0,-0,25,-2.52068898393296
0.02,0.0019594720922052,0.195694418441041,9.75944184410408,-4.9240070726576e-08,-0.00454944359701312,-0.000604243747617412,25,-3.70364545820052
0.03,0.00440192243331296,0.292795649780511,9.71012313394705,-1.95946509356114e-07,-0.0089943369512735,-0.00118659514023406,25,-4.86342633225765
0.04,0.0078129791217069,0.389415687898275,9.66200381177641,-4.386416768277e-07,-0.0133378435328801,-0.00174797554446303,25,-5.99703935540753
0.05,0.0121878882769664,0.48556614315363,9.61504552553548,-7.75903194861424e-07,-0.0175829992599132,-0.00228925995050307,25,-7.10250343900548
0.06,0.0175220102854247,0.581258258538023,9.56921153843928,-1.20636144233293e-06,-0.021732718961536,-0.0028112797290827,25,-8.17856138006197
0.07,0.0238108162030182,0.676502924980669,9.52446664426458,-1.728697190319e-06,-0.0257898024482891,-0.00331482519859978,25,-9.22448207353598
0.08,0.0310498843072216,0.771310695860028,9.48077708793589,-2.3416393667367e-06,-0.0297569402173383,-0.00380064801731179,25,-10.2399211321854
0.09,0.0392348967903731,0.865691800770271,9.43811049102432,-3.04396294218235e-06,-0.0336367188182056,-0.00426946341413021,25,-11.2248207061663
0.1,0.0483616365871662,0.959656158588344,9.39643578180729,-3.8344869292019e-06,-0.0374316259024806,-0.00472195227039729,25,-12.1793362545489
0.11,0.0584259843295279,1.053213389884,9.35572312956585,-4.71207248779732e-06,-0.0411440549791634,-0.00515876306396084,25,-13.1037822425232
0.12,0.0694239154225091,1.14637282871222,9.31594388282223,-5.67562113049882e-06,-0.044776309895596,-0.00558051368590076,25,-13.9985913765153
0.13,0.0813514972351935,1.23914353382467,9.27707051124405,-6.72407302081478e-06,-0.0483306090624061,-0.00598779313938946,25,-14.8642836826372
0.14,0.0942048864009883,1.33153429933429,9.23907655096296,-7.85640535931366e-06,-0.0518090894394768,-0.00638116312937818,25,-15.7014428463799
0.15,0.107980326221985,1.42355366486505,9.20193655307529,-9.07163085199956e-06,-0.0552138102986666,-0.0067611595510836,25,-16.510697977982
0.16,0.122674144172391,1.51520992521615,9.16562603511031,-1.0368796256017e-05,-0.0585467567778316,-0.00712829388459679,25,-17.292709478454
0.17,0.138282749496316,1.60651113956883,9.13012143526776,-1.17469809980654e-05,-0.0618098432396182,-0.00748305450234392,25,-18.048158036462
0.18,0.154802630895466,1.69746514026125,9.09540006924185,-1.32052958612225e-05,-0.0650049164475067,-0.00782590789558777,25,-18.7777360373102
0.19,0.172230354302552,1.78807954115587,9.06144008946202,-1.47428817361657e-05,-0.0681337585706777,-0.00815729982566717,25,-19.4821408452273
0.2,0.19056256073644,1.87836174562181,9.02822044659404,-1.63589084330568e-05,-0.0711980900284397,-0.00847765640522269,25,-20.162069550851
0.21,0.209795964235316,1.96831895415337,8.99572085315582,-1.8052573550598e-05,-0.0741995721841879,-0.00878738511424695,25,-20.8182148718753
