t,x,xdot,xddot,drag_aero,drag_hover,drag_brake,brakegap,Fload_brakes
0,0,0,0,-0,-0,-0,25,0
0.01,9.81e-05,0.01962,1.962,-0,-0,-0,25,-2.59449303942528
0.02,0.000392099766302854,0.0391799532605707,1.95599532605707,-7.23829039680668e-08,-0.000489634153513525,-0.000122390705470965,25,-2.82738194506513
0.03,0.000881400922972788,0.058680278073416,1.95003248128453,-2.88646186334652e-07,-0.000976007234999685,-0.000243634670850047,25,-3.05925322516448
0.04,0.00156540925463926,0.0781213882598778,1.94411101864618,-6.47473984471637e-07,-0.00145915177184526,-0.000363746254050058,25,-3.29006165928721
0.05,0.00244353466211242,0.0975036932347546,1.93823049748768,-1.14756660477182e-06,-0.00193909985303153,-0.000482739584678053,25,-3.51976629488912
0.06,0.00351519111863109,0.11682759806898,1.93239048342256,-1.78764026859403e-06,-0.00241588313658646,-0.000600628568450222,25,-3.74833008818415
0.07,0.00477979662673193,0.136093503551188,1.92659054822076,-2.56642686307113e-06,-0.00288953285688409,-0.000717426891506192,25,-3.97571957935749
0.08,0.00623677317572879,0.155301806248183,1.92083026969956,-3.48267369667128e-06,-0.00336007983179455,-0.00083314802462537,25,-4.20190459832546
0.09,0.00788554669979146,0.17445289856435,1.9151092316167,-4.53514325940516e-06,-0.00382755446968878,-0.000947805227347871,25,-4.42685799772174
0.1,0.00972554703661326,0.19354716880001,1.90942702356594,-5.72261298757529e-06,-0.00429198677630081,-0.00106141155200254,25,-4.65055541020108
0.11,0.0117562078866571,0.212585001208757,1.9037832408747,-7.04387503296564e-06,-0.00475340636145151,-0.00117397984764445,25,-4.87297502750637
0.12,0.0139769667729698,0.231566776053795,1.89817748450389,-8.49773603637272e-06,-0.00521184244563672,-0.00128552276390428,25,-5.09409739905056
0.13,0.0163872650015553,0.250492869663294,1.89260936094984,-1.00830169053819e-05,-0.0056673238664832,-0.00139605275475175,25,-5.31390524803005
0.14,0.0189865476222956,0.269363654484777,1.8870784821483,-1.17985525962951e-05,-0.00611987908507532,-0.00150558208217539,25,-5.53238330331594
0.15,0.0217742633904124,0.288179499138581,1.88158446538036,-1.36431919001175e-05,-0.00656953619215571,-0.00161412281978078,25,-5.74951814556931
0.16,0.0247498647284573,0.306940768470385,1.87612693318043,-1.56157972325159e-05,-0.00701632291420259,-0.00172168685630932,25,-5.96529806620143
0.17,0.0279128076888234,0.325647823602845,1.87070551324601,-1.77152444276601e-05,-0.00746026661938692,-0.00182828589907952,25,-6.17971293795159
0.18,0.0312625519167693,0.344301021986339,1.86531983834942,-1.99404225358627e-05,-0.00790139432341182,-0.00193393147735289,25,-6.39275409598946
0.19,0.0347985606139453,0.362900717448852,1.85996954625127,-2.22902336249364e-05,-0.00833973269523729,-0.0020386349456262,25,-6.60441422856536
0.2,0.0385203005024146,0.381447260245009,1.85465427961571,-2.47635925851862e-05,-0.00877530806269271,-0.00214240748685198,25,-6.8146872763354
0.21,0.0424272417891611,0.399940997104283,1.84937368592743,-2.73594269379588e-05,-0.00920814641797976,-0.00224526011558921,25,-7.02356833957904
0.22,0.0465188581310744,0.418382271278387,1.84412741741034,-3.00766766476735e-05,-0.00963827342306806,-0.00234720368108571,25,-7.23105359260697
0.23,0.0507946266004057,0.436771422587865,1.83891513094787,-3.29142939372582e-05,-0.0100657144149864,-0.00244824887029413,25,-7.43714020472813
0.24,0.0552540276506846,0.455108787467915,1.83373648800492,-3.58712431069194e-05,-0.0104904944110116,-0.0025484062108231,25,-7.64182626720774
0.25,0.0598965450830913,0.473394699013428,1.82859115455132,-3.89465003561736e-05,-0.0109126381137571,-0.00264768607382512,25,-7.84511072570393
0.26,0.0647216660132749,0.491629487023297,1.82347880098689,-4.2139053609073e-05,-0.0113321699161643,-0.00274609867682284,25,-8.04699331772051
0.27,0.0697288808386113,0.509813478043976,1.81839910206793,-4.54479023425544e-05,-0.0117491139063983,-0.00284365408647514,25,-8.24747451465742
0.28,0.0749176832058928,0.527946995412328,1.81335173683524,-4.887205741785e-05,-0.0121634938726495,-0.00294036222128456,25,-8.44655546808019
0.29,0.0802875699794432,0.546030359297763,1.8083363885435,-5.2410540914891e-05,-0.0125753333078451,-0.0030362328542475,25,-8.64423795986505
0.3,0.0858380412096505,0.564063886743684,1.80335274459209,-5.60623859696452e-05,-0.0129846554142708,-0.00313127561544857,25,-8.84052435590779
0.31,0.0915686001019102,0.582047891708257,1.79840049645728,-5.98266366143248e-05,-0.0133914831081044,-0.00322549999460039,25,-9.0354175631129
0.32,0.097478752985974,0.599982685104514,1.79347933962569,-6.37023476204056e-05,-0.0137958390238656,-0.00331891534353029,25,-9.22892098940539
0.33,0.103568009285696,0.617868574839805,1.78858897352912,-6.76885843443994e-05,-0.0141977455187813,-0.00341153087861507,25,-9.42103850652975
0.34,0.109835881489168,0.635705865854611,1.78372910148063,-7.17844225763219e-05,-0.014597224677069,-0.00350335568316514,25,-9.61177441542211
0.35,0.116281885119244,0.65349486016073,1.77889943061182,-7.59889483908016e-05,-0.0149942983141417,-0.00359439870975918,25,-9.80113341395943
0.36,0.122905538704442,0.671235856878843,1.7740996718114,-8.03012580007743e-05,-0.015388987980733,-0.00368466878253062,25,-9.98912056690687
0.37,0.129706363750214,0.688929152275492,1.76932953966488,-8.47204576137111e-05,-0.0157813149669469,-0.0037741745994069,25,-10.1757412778995
0.38,0.136683884710589,0.706575039799447,1.76458875239547,-8.92456632903273e-05,-0.0161713003062328,-0.00386292473430287,25,-10.3610012633078
0.39,0.143837628960173,0.724173810117508,1.75987703180606,-9.38760008057231e-05,-0.0165589647792865,-0.00395092763926921,25,-10.5449065278504
0.4,0.15116712676651,0.741725751149731,1.75519410322239,-9.86106055129048e-05,-0.0169443289178809,-0.00403819164659698,25,-10.7274633418257
0.41,0.158671911262779,0.759231148104103,1.75053969543719,-0.00010344862220864,-0.0173274130086256,-0.00412472497087945,25,-10.9086782198483
0.42,0.166351518420853,0.776690283510658,1.74591354065549,-0.000108389205001598,-0.0177082370966582,-0.00421053571103204,25,-11.0885579009825
0.43,0.174205487024681,0.794103437255068,1.74131537444092,-0.000113431517182735,-0.0180868209892694,-0.00429563185227143,25,-11.2671093301735
0.44,0.182233358644015,0.811470886611698,1.736744935663,-0.000118574731097867,-0.0184631842594608,-0.00438002126805484,25,-11.4443396408881
0.45,0.190434677608454,0.828792906276152,1.73220196644546,-0.0001238180280224,-0.0188373462494405,-0.00446371172198028,25,-11.6202561388787
0.46,0.198808990981822,0.846069768397308,1.72768621211553,-0.000129160598038169,-0.0192093260740535,-0.00454671086964881,25,-11.7948662869956
0.47,0.207355848536852,0.863301742608849,1.72319742115412,-0.000134601639912341,-0.019579142624153,-0.00462902626048955,25,-11.9681776909749
0.48,0.216074802730198,0.880489096060319,1.71873534514702,-0.000140140360978348,-0.0199468145699092,-0.0047106653395484,25,-12.140198086137
0.49,0.224965408677738,0.897632093447689,1.71429973873696,-0.000145775977018798,-0.0203123603640606,-0.00479163544924126,25,-12.3109353249344
