t,x,xdot,xddot,drag_aero,drag_hover,drag_brake,brakegap,Fload_brakes
0.29,0.200929570835805,1.36792350932799,4.54817804367718,-0.000328844881269213,-0.0293201694999563,-0.00672427372507649,25,-16.4204126685167
0.3,0.214835679277835,1.41329817907794,4.53746697499539,-0.000351853295995511,-0.0302056094411327,-0.00690767742644089,25,-16.8112178545506
0.31,0.229195004754642,1.45856691628348,4.5268737205538,-0.000375582713704043,-0.031081472887767,-0.00708792701282073,25,-17.1953479352052
0.32,0.244006493737499,1.5037308802879,4.51639640044123,-0.000400028297413823,-0.031947894201458,-0.00726508459172646,25,-17.5728893856997
0.33,0.259269104199036,1.54879121201953,4.50603317316322,-0.000425185292495308,-0.0328050052112195,-0.00743921080482569,25,-17.9439294804517
0.34,0.274981805430964,1.59374903436612,4.49578223465956,-0.000451049024834587,-0.0336529352742996,-0.00761036486910666,25,-18.308556050549
0.35,0.291143577865493,1.63860545253964,4.48564181735201,-0.000477614899046736,-0.0344918113352294,-0.00777860461669135,25,-18.6668572699053
0.36,0.307753412900351,1.68336155443185,4.47561018922102,-0.000504878396736775,-0.0353217579831641,-0.00794398653334933,25,-19.018921466736
0.37,0.324810312727315,1.72801841096096,4.46568565291045,-0.000532835074806732,-0.0361428975075727,-0.00810656579576073,25,-19.3648369574234
0.38,0.342313290164167,1.77257707640955,4.45586654485936,-0.000561480563807338,-0.0369553499523319,-0.00826639630757497,25,-19.7046919002078
0.39,0.360261368489986,1.81703858875415,4.44615123445987,-0.000590810566332975,-0.0377592331682795,-0.00842353073430985,25,-20.0385741664577
0.4,0.378653581283689,1.86140396998655,4.43653812324012,-0.000620820855458528,-0.0385546628642762,-0.00857802053713367,25,-20.3665712275479
0.41,0.397488972265758,1.90567422642727,4.42702564407161,-0.000651507273216821,-0.0393417526568279,-0.00872991600557142,25,-20.6887700556104
0.42,0.416766595143051,1.94985034903127,4.41761226039992,-0.000682865729115417,-0.0401206141183138,-0.00887926628917425,25,-21.0052570366307
0.43,0.436485513456639,1.99393331368625,4.40829646549814,-0.000714892198691537,-0.0408913568238684,-0.0090261194281899,25,-21.3161178945386
0.44,0.456644800432588,2.03792408150367,4.39907678174211,-0.000747582722103969,-0.0416540883969594,-0.00917052238327014,25,-21.6214376251003
0.45,0.47724353883562,2.08182359910274,4.38995175990678,-0.000780933402760814,-0.0424089145537051,-0.00931252106424998,25,-21.9213004385563
0.46,0.498280820825572,2.12563279888757,4.38091997848304,-0.000814940405982,-0.0431559391459724,-0.00945216035803172,25,-22.2157897100645
0.47,0.519755747816598,2.16935259931771,4.3719800430142,-0.000849599957695515,-0.0438952642032937,-0.00958948415560585,25,-22.5049879371182
0.48,0.541667430339048,2.21298390517223,4.36313058545158,-0.000884908343166348,-0.0446269899736417,-0.00972453537823939,25,-22.7889767031961
0.49,0.564014987903946,2.25652760780751,4.35437026352847,-0.000920861905757158,-0.0453512149630975,-0.00985735600286104,25,-23.0678366469839
0.5,0.586797548870029,2.29998458540903,4.3456977601519,-0.00095745704571974,-0.0460680359744485,-0.00998798708667128,25,-23.3416474365796
0.51,0.61001425031326,2.34335570323715,4.33711178281171,-0.000994690219016371,-0.0467775481447486,-0.0101164687910047,25,-23.6104877481563
0.52,0.633664237898782,2.38664181386721,4.32861106300613,-0.00103255793617016,-0.047479844981874,-0.0102428404044705,25,-23.8744352486108
0.53,0.657746665755238,2.42984375742404,4.3201943556836,-0.00107105676114356,-0.0481750184001071,-0.0103671403653958,25,-24.1335665817794
0.54,0.682260696351414,2.47296236181104,4.31186043870007,-0.0011101833102442,-0.048863158754776,-0.010489406283597,25,-24.3879573578421
0.55,0.707205500375139,2.51599844293396,4.30360811229142,-0.00114993425105728,-0.0495443548759826,-0.0106096749615003,25,-24.6376821455784
0.56,0.732580256614406,2.55895280491956,4.29543619856049,-0.00119030630140375,-0.0502186941014443,-0.0107279824146356,25,-24.8828144671698
0.57,0.758384151840651,2.60182624032934,4.28734354097813,-0.00123129622832351,-0.0508862623084783,-0.0108443638915239,25,-25.1234267952778
0.58,0.784616380694139,2.64461953036832,4.27932900389803,-0.00127290084708292,-0.0515471439451543,-0.0109588538929792,25,-25.3595905521519
0.59,0.811276145571426,2.68733344508917,4.27139147208471,-0.00131511702020603,-0.0522014220606411,-0.0110714861908442,25,-25.5913761105467
0.6,0.838362656514831,2.72996874359172,4.26352985025433,-0.00135794165652864,-0.0528491783347711,-0.0111822938461798,25,-25.8188527962502
0.61,0.865875131103879,2.77252617421799,4.2557430626279,-0.0014013717102748,-0.0534904931068467,-0.0112913092269252,25,-26.0420888920445
0.62,0.893812794348684,2.81500647474296,4.24803005249655,-0.00144540418015493,-0.0541254454037116,-0.0113985640250475,25,-26.2611516429373
0.63,0.922174878585204,2.85741037256094,4.24038978179837,-0.00149003610848506,-0.0547541129671081,-0.0115040892731969,25,-26.4761072625201
0.64,0.950960623372349,2.89973858486801,4.23282123070655,-0.00153526458032656,-0.0553765722803432,-0.0116079153608848,25,-26.6870209403209
0.65,0.98016927539089,2.94199181884029,4.22532339722849,-0.00158108672264578,-0.055992898594282,-0.0117100720501987,25,-26.8939568500332
0.66,1.00980008834413,2.98417077180845,4.21789529681543,-0.00162749970349315,-0.0566031659526905,-0.011810588491071,25,-27.0969781585161
0.67,1.03985232286032,3.02627613142827,4.2105359619824,-0.00167450073120106,-0.0572074472169447,-0.011909493236115,25,-27.2961470354673
0.68,1.0703252463967,3.06830857584765,4.20324444193808,-0.00172208705360007,-0.0578058140901264,-0.0120068142550425,25,-27.491524663683
0.69,1.10121813314528,3.1102687738699,4.1960198022243,-0.00177025595725306,-0.0583983371405225,-0.0121025789486769,25,-27.683171249826
0.7,1.1325302639402,3.15215738511355,4.18886112436497,-0.00181900476670663,-0.0589850858245452,-0.0121968141625734,25,-27.8711460356312
0.71,1.16426092616661,3.19397506016879,4.18176750552398,-0.00186833084375946,-0.0595661285090906,-0.0122895462002609,25,-28.0555073094835
0.72,1.19640941367121,3.23572244075051,4.17473805817194,-0.00191823158674706,-0.0601415324933505,-0.0123808008361164,25,-28.2363124183118
0.73,1.2289750266742,3.27740015984812,4.16777190976148,-0.00196870442984257,-0.0607113640300949,-0.0124706033278833,25,-28.4136177797457
0.74,1.26195707168281,3.31900884187223,4.16086820241079,-0.00201974684237312,-0.0612756883464377,-0.0125589784288458,25,-28.587478894488
0.75,1.29535486140616,3.36054910279818,4.15402609259522,-0.00207135632815132,-0.0618345696641037,-0.0126459503996695,25,-28.7579503588603
0.76,1.32916771467168,3.40202155030665,4.14724475084667,-0.00212353042482154,-0.0623880712192074,-0.0127315430199195,25,-28.9250858774845
0.77,1.36339495634282,3.44342678392125,4.14052336146052,-0.00217626670322058,-0.0629362552815601,-0.0128157795992645,25,-29.0889382760637
0.78,1.39803591723814,3.48476539514335,4.13386112220996,-0.00222956276675233,-0.0634791831735168,-0.012898682988379,25,-29.2495595142332
0.79,1.43308993405178,3.52603796758403,4.12725724406742,-0.00228341625077605,-0.0640169152883773,-0.0129802755895501,25,-29.4070006984526
0.8,1.46855634927517,3.56724507709335,4.12071095093289,-0.00233782482200795,-0.0645495111083519,-0.0130605793670007,25,-29.5613120949137
0.810000000000001,1.50443451112007,3.60838729188705,4.11422147936905,-0.00239278617793571,-0.0650770292221058,-0.0131396158569363,25,-29.7125431424426
0.820000000000001,1.54072377344286,3.64946517267047,4.10778807834282,-0.0024482980462456,-0.0655995273418923,-0.0132174061773239,25,-29.8607424653748
0.830000000000001,1.57742349567001,3.69047927276021,4.10141000897336,-0.00250435818426193,-0.066117062320287,-0.0132939710374119,25,-30.0059578863852
0.840000000000001,1.61453304272483,3.73143013820307,4.09508654428617,-0.00256096437839839,-0.0666296901665332,-0.0133693307469977,25,-30.148236439258
0.850000000000001,1.65205178495531,3.7723183078928,4.08881696897316,-0.00261811444362116,-0.0671374660625099,-0.0134435052254526,25,-30.2876243815796
0.860000000000001,1.68997909806319,3.81314431368439,4.0826005791586,-0.00267580622292331,-0.067640444378332,-0.0135165140105087,25,-30.4241672073449
0.870000000000001,1.72831436303414,3.85390868050609,4.07643668217063,-0.00273403758681034,-0.0681386786875927,-0.0135883762668168,25,-30.5579096594625
0.880000000000001,1.76705696606902,3.89461192646928,4.07032459631841,-0.00279280643279651,-0.068632221782258,-0.0136591107942821,25,-30.6888957421509
0.890000000000001,1.80620629851625,3.93525456297602,4.06426365067441,-0.00285211068491174,-0.0691211256872225,-0.0137287360361831,25,-30.8171687332157
0.900000000000001,1.84576175680525,3.97583709482464,4.05825318486207,-0.00291194829321878,-0.0696054416745353,-0.0137972700870811,25,-30.9427711961999
0.910000000000001,1.88572274238094,4.01636002031313,4.0522925488484,-0.00297231723334035,-0.0700852202773053,-0.0138647307005265,25,-31.065744992402
0.920000000000001,1.92608866163921,4.05682383134054,4.04638110274154,-0.00303321550599618,-0.0705605113032937,-0.0139311352965674,25,-31.1861312927537
0.930000000000001,1.96685892586344,4.09722901350647,4.04051821659304,-0.00309464113654946,-0.0710313638482027,-0.0139965009690665,25,-31.3039705895541
0.940000000000001,2.00803295116202,4.13757604620852,4.03470327020483,-0.00315659217456268,-0.0714978263086676,-0.0140608444928316,25,-31.4193027080546
0.950000000000001,2.04961015840675,4.17786540273793,4.02893565294069,-0.00321906669336256,-0.0719599463949606,-0.0141241823305665,25,-31.5321668178924
0.960000000000001,2.09158997317231,4.21809755037335,4.02321476354208,-0.00328206278961375,-0.0724177711434138,-0.0141865306396449,25,-31.6426014443679
0.970000000000001,2.13397182567654,4.25827295047283,4.01754000994829,-0.00334557858290128,-0.0728713469285683,-0.0142479052787151,25,-31.7506444795646
0.980000000000001,2.17675515072172,4.29839205856404,4.01191080912069,-0.00340961221532138,-0.0733207194750568,-0.0143083218141389,25,-31.8563331933091
0.990000000000001,2.21993938763671,4.33845532443275,4.00632658687108,-0.00347416185108057,-0.0737659338692269,-0.0143677955262692,25,-31.9597042439697
1,2.26352398021992,4.37846319220969,4.00078677769396,-0.0035392256761028,-0.0742070345705104,-0.0144263414155726,25,-32.0607936890928
1.01,2.30726312668325,4.36936610045572,-0.909709175397428,-0.00360480189764439,-0.0746440654225468,-0.0144839742085987,25,-32.1845978838526
1.02,2.35091136455525,4.36028147394547,-0.908462651024866,-0.00358983813291504,-0.0745449946732371,-0.0144709420179932,25,-32.1621991474092
1.03,2.39446881849561,4.35120931412575,-0.907215981971657,-0.00357492593067395,-0.0744458822455132,-0.0144578851950318,25,-32.1397232733648
1.04,2.43793561317826,4.34214962240477,-0.905969172097804,-0.00356006516552795,-0.0743467286027257,-0.014444803795233,25,-32.1171704158432
1.05,2.48131187329104,4.33310240015204,-0.904722225273595,-0.00354525571217645,-0.0742475342087947,-0.0144316978745024,25,-32.0945407300926
1.06,2.5245977235353,4.32406764869824,-0.903475145379531,-0.00353049744541196,-0.0741482995282017,-0.0144185674891316,25,-32.0718343724837
1.07,2.56779328862546,4.31504536933518,-0.902227936306251,-0.00351579024012066,-0.0740490250259823,-0.0144054126957983,25,-32.0490515005068
1.08,2.61089869328872,4.30603556331563,-0.900980601954459,-0.00350113397128296,-0.0739497111677189,-0.0143922335515648,25,-32.0261922727698
