t,x,xdot,xddot,drag_aero,drag_hover,drag_brake,drag_ski,brakegap,Fload_brakes
0,0,0,0,-0,-0,-0,-0,25,0
0.01,7.48592970521542e-05,0.0149718594104308,1.49718594104308,-0,-0,-0,-0.0473816573860261,25,-2.59951221113719
0.02,0.000299209387579752,0.0298981586950888,1.49262992846579,-1.14691738003888e-09,-0.000373796044261652,-9.34656290808166e-05,-0.0473788199049396,25,-2.77700875404931
0.03,0.000672596087051771,0.044779181199315,1.48810225042262,-4.57371963030124e-09,-0.000745427398307964,-0.000186196533029265,-0.0473759912276012,25,-2.95380445530783
0.04,0.00119456803117021,0.0596152076243718,1.48360264250567,-1.0259659546768e-08,-0.00111491313792389,-0.000278200664951467,-0.0473731712987624,25,-3.12987963433034
0.05,0.00186467664959404,0.0744065160603957,1.47913084360239,-1.81842241009677e-08,-0.00148227211243395,-0.000369485867742903,-0.0473703600636935,25,-3.30521621968719
0.06,0.00268247613999021,0.089153382018838,1.47468659584423,-2.8327131155297e-08,-0.00184752294808535,-0.000460059875951042,-0.0473675574681767,25,-3.47979763842749
0.07,0.0036475234424064,0.1038560784644,1.47026964455623,-4.06683262339591e-08,-0.00221068405137014,-0.000549930317600815,-0.0473647634585002,25,-3.6536087139565
0.08,0.00475937821396078,0.118514875846476,1.46587973820754,-5.51879793484154e-08,-0.00257177361228771,-0.000639104715983802,-0.0473619779814517,25,-3.82663557170151
0.09,0.00601760280384368,0.133130042130105,1.46151662836291,-7.18664818762667e-08,-0.00293080960754898,-0.000727590491411959,-0.047359200984312,25,-3.99886555188091
0.1,0.00742176222862648,0.147701842826455,1.457180069635,-9.06844434925088e-08,-0.00328780980372334,-0.000815394962936697,-0.0473564324148492,25,-4.17028712876006
0.11,0.00897142414787291,0.162230541022832,1.45286981963767,-1.11622689152128e-07,-0.00364279176032976,-0.000902525350034113,-0.0473536722213126,25,-4.34088983583877
0.12,0.0106661588400482,0.176716397412232,1.44858563894002,-1.34662256123032e-07,-0.00399577283287299,-0.000988988774257094,-0.0473509203524267,25,-4.5106641964693
0.13,0.0125055391787216,0.191159670322445,1.44432729102133,-1.59784391068315e-07,-0.00434677017582624,-0.00107479226085513,-0.0473481767573856,25,-4.67960165945227
0.14,0.0144891406090574,0.205560615744714,1.44009454222686,-1.86970547176922e-07,-0.00469580074556106,-0.00115994274036245,-0.047345441385847,25,-4.84769453920082
0.15,0.0166165411245908,0.219919487361958,1.43588716172441,-2.1620238134173e-07,-0.00504288130322606,-0.00124444705015534,-0.0473427141879266,25,-5.01493596010191
0.16,0.0188873212442834,0.234236536576574,1.43170492146162,-2.47461751384163e-07,-0.00538802841757504,-0.00132831193597916,-0.0473399951141929,25,-5.18131980473793
0.17,0.0213010639898554,0.248512012537816,1.42754759612418,-2.80730713324411e-07,-0.00573125846774571,-0.00141154405344587,-0.0473372841156612,25,-5.34684066566277
0.18,0.0238573548633883,0.262746162168762,1.42341496309465,-3.15991518696392e-07,-0.00607258764599018,-0.00149414996950269,-0.0473345811437885,25,-5.51149380045393
0.19,0.0265557818251965,0.276939230192884,1.41930680241214,-3.53226611906581e-07,-0.00641203196035801,-0.00157613616387254,-0.0473318861504682,25,-5.67527508978734
0.2,0.029395935271962,0.29109145916021,1.41522289673263,-3.92418627635875e-07,-0.00674960723733281,-0.00165750903046676,-0.0473291990880248,25,-5.83818099830351
0.21,0.0323774080151286,0.30520308947311,1.41116303129002,-4.33550388283662e-07,-0.00708532912442332,-0.001738274878771,-0.0473265199092089,25,-6.0002085380543
0.22,0.0354997952595525,0.319274359411689,1.40712699385792,-4.76604901453296e-07,-0.00741921309271008,-0.00181843993520458,-0.0473238485671918,25,-6.16135523433717
0.23,0.038762694582405,0.33330550515881,1.40311457471209,-5.21565357478185e-07,-0.0077512744393483,-0.00189801034445404,-0.0473211850155607,25,-6.32161909374062
0.24,0.0421657059123228,0.347296760824745,1.3991255665935,-5.68415126987719e-07,-0.00808152829002788,-0.00197699217078148,-0.0473185292083139,25,-6.48099857423898
0.25,0.0457084315088039,0.361248358471467,1.39515976467214,-6.17137758512294e-07,-0.00840998960139181,-0.00205539139930817,-0.0473158810998558,25,-6.6394925571887
0.26,0.0493904759418441,0.37516052813658,1.39121696651135,-6.67716976126685e-07,-0.00873667316341298,-0.00213321393727392,-0.047313240644992,25,-6.79710032108956
0.27,0.0532114460718116,0.389033497856909,1.38729697203293,-7.20136677131052e-07,-0.00906159360173124,-0.00221046561527295,-0.0473106077989248,25,-6.95382151698633
0.28,0.0571709510295548,0.402867493691736,1.3833995834827,-7.74380929768869e-07,-0.00938476537995052,-0.00228715218846645,-0.0473079825172486,25,-7.10965614539563
0.29,0.061268602196742,0.416662739745704,1.37952460539676,-8.30433970981093e-07,-0.00970620280189753,-0.00236327933777266,-0.0473053647559451,25,-7.26460453465215
0.3,0.0655040131864275,0.430419458191387,1.37567184456833,-8.88280204195889e-07,-0.0100259200138425,-0.00243885267103467,-0.0473027544713789,25,-7.4186673205769
0.31,0.0698767998238421,0.444137869291538,1.37184111001512,-9.47904197153249e-07,-0.0103439310066823,-0.00251387772416665,-0.0473001516202931,25,-7.57184542737745
0.32,0.0743865801274048,0.457818191421012,1.36803221294735,-1.00929067976387e-06,-0.0106602496180882,-0.00258835996227881,-0.0472975561598048,25,-7.72414004969719
0.33,0.0790329742899518,0.471460641088374,1.36424496673619,-1.07242454200166e-06,-0.0109748895346163,-0.0026623047807816,-0.047294968047401,25,-7.87555263573687
0.34,0.0838156046601797,0.485065432957203,1.36047918688288,-1.1372908318292e-06,-0.0112878642937842,-0.00273571750646963,-0.0472923872409343,25,-8.02608487137762
0.35,0.0887340957243011,0.498632779867086,1.35673469098833,-1.20387475315564e-06,-0.0115991872861127,-0.00280860339858566,-0.0472898136986184,25,-8.17573866523979
0.36,0.0937880740879081,0.512162892854318,1.35301129872319,-1.27216166382639e-06,-0.0119088717571339,-0.00288096764986515,-0.0472872473790243,25,-8.32451613461685
0.37,0.0989771684580412,0.525655981172303,1.34930883179848,-1.342137073644e-06,-0.0122169308093665,-0.00295281538756176,-0.0472846882410762,25,-8.47241959222797
0.38,0.104301009625461,0.53911225231167,1.34562711393677,-1.41378664241971e-06,-0.012523377404258,-0.00302415167445415,-0.0472821362440474,25,-8.61945153373726
0.39,0.10975923044712,0.552531912020107,1.34196597084371,-1.48709617805509e-06,-0.0128282243640958,-0.00309498150983459,-0.0472795913475562,25,-8.76561462599091
0.4,0.11535146582883,0.565915164321909,1.3383252301802,-1.56205163465319e-06,-0.013131484373887,-0.0031653098304796,-0.0472770535115625,25,-8.9109116959274
0.41,0.121077352708126,0.579262211537259,1.33470472153491,-1.63863911065877e-06,-0.013433169983207,-0.00323514151160314,-0.0472745226963632,25,-9.0553457201188
0.42,0.126936530037318,0.592573254301232,1.33110427639734,-1.71684484702692e-06,-0.0137332936080189,-0.00330448136779265,-0.0472719988625892,25,-9.19891981490432
0.43,0.132928638766737,0.605848491582545,1.32752372813126,-1.79665522541978e-06,-0.0140318675324632,-0.00337333415392826,-0.0472694819712011,25,-9.34163722707971
0.44,0.13905332182816,0.619088120702031,1.32396291194866,-1.8780567664306e-06,-0.0143289039106179,-0.00344170456608561,-0.0472669719834857,25,-9.48350132510895
0.45,0.145310224118425,0.632292337350873,1.32042166488414,-1.96103612783486e-06,-0.0146244147682316,-0.00350959724242251,-0.0472644688610525,25,-9.62451559082659
0.46,0.151698992483222,0.645461335608569,1.31689982576964,-2.04558010286792e-06,-0.0149184120044276,-0.00357701676404987,-0.0472619725658298,25,-9.76468361160143
0.47,0.158219275701068,0.658595307960665,1.31339723520966,-2.13167561852859e-06,-0.0152109073933814,-0.00364396765588715,-0.0472594830600615,25,-9.90400907293423
0.48,0.164870724467453,0.671694445316234,1.3099137355569,-2.21930973390837e-06,-0.0155019125859709,-0.0037104543875027,-0.0472570003063033,25,-10.0424957514638
0.49,0.171652991379159,0.684758937025117,1.30644917088827,-2.3084696385458e-06,-0.0157914391114012,-0.00377648137393925,-0.0472545242674198,25,-10.1801475083574
0.5,0.17856573091876,0.69778897089493,1.30300338698128,-2.39914265080537e-06,-0.0160794983788023,-0.00384205297652487,-0.0472520549065802,25,-10.3169682830638
0.51,0.185608599439273,0.710784733207839,1.29957623129088,-2.49131621628083e-06,-0.016366101678803,-0.00390717350366977,-0.047249592187256,25,-10.4529620874069
0.52,0.192781255148998,0.723746408737105,1.29616755292658,-2.58497790622219e-06,-0.0166512601850788,-0.00397184721164902,-0.0472471360732169,25,-10.5881330000018
0.53,0.200083358096501,0.736674180763405,1.29277720263007,-2.68011541598618e-06,-0.0169349849558755,-0.00403607830537177,-0.047244686528528,25,-10.7224851609735
0.54,0.207514570155772,0.749568231090936,1.28940503275309,-2.77671656350966e-06,-0.0172172869355102,-0.00409987093913696,-0.0472422435175463,25,-10.8560227669621
0.55,0.215074555011544,0.762428740063294,1.28605089723573,-2.87476928780566e-06,-0.0174981769558467,-0.00416322921737594,-0.0472398070049179,25,-10.9887500663988
0.56,0.222762978144756,0.775255886579144,1.28271465158503,-2.97426164748158e-06,-0.0177776657377496,-0.00422615719538229,-0.0472373769555744,25,-11.1206713550358
0.57,0.23057950681819,0.788049848107684,1.27939615285399,-3.0751818192792e-06,-0.018055763892515,-0.00428865888002897,-0.0472349533347303,25,-11.2517909717176
0.58,0.238523810062248,0.800810800703892,1.27609525962086,-3.17751809663617e-06,-0.0183324819232792,-0.00435073823047316,-0.0472325361078796,25,-11.3821132943802
0.59,0.246595558660885,0.81353891902358,1.27281183196879,-3.2812588882685e-06,-0.018607830226405,-0.00441239915884897,-0.0472301252407929,25,-11.5116427362651
0.6,0.254794425137694,0.826234376338238,1.26954573146577,-3.38639271677383e-06,-0.0188818190928475,-0.00447364553094834,-0.0472277206995148,25,-11.6403837423364
0.61,0.263120083742134,0.838897344549688,1.26629682114498,-3.49290821725496e-06,-0.0191544587094985,-0.0045344811668902,-0.0472253224503602,25,-11.7683407858905
0.62,0.271572210435905,0.851527994204541,1.26306496548534,-3.60079413596347e-06,-0.0194257591605095,-0.00459490984177836,-0.0472229304599122,25,-11.895518365348
0.63,0.28015048287947,0.864126494508466,1.25985003039245,-3.71003932896291e-06,-0.0196957304285957,-0.00465493528634814,-0.047220544695019,25,-12.0219210012174
0.64,0.288854580418714,0.876693013340263,1.25665188317977,-3.82063276081144e-06,-0.0199643823963194,-0.00471456118760206,-0.0472181651227908,25,-12.1475532332219
