t,x,xdot,xddot,drag_aero,drag_hover,drag_ski,drag_brake,aerodrag_contribution,hoverdrag_contribution,skidrag_contribution,brakedrag_contribution,brakegap,Tload_brakes
0.12,0.0141264,0.23544,1.962,-9.26976678919512e-06,-0.000727651190106097,-0.050796302158485,-0.00139962049247149,0.017512315903278,1.37466861878201,95.9636752841107,2.64414378120407,25,0.0534488902439878
0.13,0.0165789,0.25506,1.962,-1.10317885755711e-05,-0.000792372779340679,-0.0507923158211175,-0.00152206457176585,0.0207685402990964,1.49172782698948,95.6220517451956,2.86545188751586,25,0.0533052892034741
0.14,0.0192276,0.27468,1.962,-1.29470296477188e-05,-0.000856859801941115,-0.0507883297965855,-0.00164373073915466,0.0242900113770772,1.60756056825567,95.2843348743835,3.08381454598376,25,0.0531621516394168
0.15,0.0220725,0.2943,1.962,-1.50154900056384e-05,-0.000921113060508225,-0.0507843440848644,-0.00176462376272918,0.0280741571331817,1.72218640806417,94.9504581741044,3.29928126069829,25,0.0530194944363069
0.16,0.0251136,0.31392,1.962,-1.72371696493298e-05,-0.000985133354907049,-0.0507803586859298,-0.00188474838139521,0.0321184643340446,1.83562447707823,94.6203566191299,3.51190043945783,25,0.0528773334293561
0.17,0.0283509,0.33354,1.962,-1.9612068578793e-05,-0.00104892148227619,-0.0507763735997569,-0.00200410930505201,0.0364204768622662,1.94789348314246,94.2939666160164,3.72171942397885,25,0.0527356834689484
0.18,0.0317844,0.35316,1.962,-2.2140186794028e-05,-0.00111247823703712,-0.0507723888263214,-0.00212271121476987,0.0409777941160328,2.05901172288982,93.9712259638818,3.92878451911238,25,0.0525945584803687
0.19,0.0354141,0.37278,1.962,-2.48215242950349e-05,-0.00117580441090346,-0.0507684043655986,-0.00224055876296678,0.0457880694609927,2.16899709296897,93.6520738164652,4.13314102110483,25,0.0524539715192151
0.2,0.03924,0.3924,1.962,-2.76560810818136e-05,-0.00123890079289026,-0.050764420217564,-0.00235765657358389,0.0508490087324068,2.27786710090639,93.3364506454218,4.33483324493934,25,0.0523139348228648
0.21,0.0432621,0.41202,1.962,-3.06438571543641e-05,-0.00130176816932317,-0.050760436382193,-0.00247400924226,0.0561583687856753,2.38563887561696,93.0242982048049,4.53390455079249,25,0.0521744598583224
0.22,0.0474804,0.43164,1.962,-3.37848525126864e-05,-0.00136440732384763,-0.0507564528594612,-0.00258962133650491,0.0617139560934272,2.49232917757639,92.7155594966908,4.73039736963938,25,0.0520355573667524
0.23,0.0518949,0.45126,1.962,-3.70790671567805e-05,-0.00142681903743808,-0.050752469649344,-0.00270449739587169,0.0675136253874333,2.59795440866794,92.4101787379056,4.92435322803908,25,0.0518972374049662
0.24,0.0565056,0.47088,1.962,-4.05265010866465e-05,-0.001489004088407,-0.0507484867518169,-0.00281864193212799,0.0735552783436796,2.70253062171562,92.1081013278098,5.11581277213086,25,0.051759509384108
0.25,0.0613125,0.4905,1.962,-4.41271543022843e-05,-0.00155096325241406,-0.0507445041668553,-0.0029320594294262,0.0798368623090072,2.8060735297155,91.8092738171052,5.30481579087026,25,0.0516223821057644
0.26,0.0663156,0.51012,1.962,-4.78810268036939e-05,-0.00161269730247518,-0.0507405218944347,-0.00304475434447263,0.0863563690677916,2.90859851477609,91.513643877623,5.49140123853309,25,0.0514858637956984
0.27,0.0715149,0.52974,1.962,-5.17881185908753e-05,-0.0016742070089715,-0.0507365399345306,-0.0031567311066956,0.0931118336471991,3.01012063677857,91.2211602730602,5.675607256514,25,0.0513499621353926
0.28,0.0769104,0.54936,1.962,-5.58484296638285e-05,-0.00173549313965847,-0.0507325582871184,-0.00326799411841254,0.100101333159618,3.11065464176696,90.9317728306281,5.85747119444538,25,0.0512146842915688
0.29,0.0825021,0.56898,1.962,-6.00619600225536e-05,-0.00179655645967473,-0.0507285769521736,-0.00337854775499608,0.107322985680919,3.21021497007809,90.6454324135798,6.03702963066119,25,0.0510800369438376
0.3,0.08829,0.5886,1.962,-6.44287096670504e-05,-0.0018573977315511,-0.0507245959296718,-0.00348839636503905,0.11477494916326,3.30881576422065,90.362090894587,6.21431839202913,25,0.0509460263106169
0.31,0.0942741000000001,0.60822,1.962,-6.89486785973191e-05,-0.00191801771521947,-0.0507206152195883,-0.00359754427051856,0.122455420381194,3.40647087651234,90.0817011299324,6.38937257317408,25,0.0508126581734468
0.32,0.1004544,0.62784,1.962,-7.36218668133596e-05,-0.00197841716802167,-0.0507166348218988,-0.00370599576695901,0.130362633909899,3.50319387648381,89.804216934492,6.56222655511424,25,0.0506799378998187
0.33,0.1068309,0.64746,1.962,-7.8448274315172e-05,-0.00203859684471832,-0.0507126547365785,-0.00381375512359408,0.13849486113439,3.59899805805753,89.5295930574772,6.73291402333087,25,0.0505478704646241
0.34,0.1134036,0.66708,1.962,-8.34279011027561e-05,-0.00209855749749765,-0.0507086749636031,-0.00392082658352783,0.146850409288618,3.69389644650963,89.25778515891,6.90146798529171,25,0.0504164604703219
0.35,0.1201725,0.6867,1.962,-8.85607471761121e-05,-0.00215829987598429,-0.0507046955029481,-0.00402721436389472,0.155427620523419,3.78790180522228,88.9887497868072,7.06792078744711,25,0.050285712165915
0.36,0.1271376,0.70632,1.962,-9.38468125352399e-05,-0.002217824727248,-0.0507007163545888,-0.00413292265601866,0.164224871002295,3.88102664223396,88.7224443550463,7.23230413171742,25,0.0501556294648171
0.37,0.1342989,0.72594,1.962,-9.92860971801395e-05,-0.00227713279581242,-0.0506967375185009,-0.00423795562557113,0.173240570024062,3.97328321659461,88.4588271218922,7.39464909148915,25,0.0500262159616882
0.38,0.1416564,0.74556,1.962,-0.000104878601110811,-0.00233622482366374,-0.0506927589946597,-0.00434231741272828,0.18247315917145,4.06468354453236,88.1978571691591,7.55498612713714,25,0.0498974749483062
0.39,0.1492101,0.76518,1.962,-0.000110624324327254,-0.0023951015502594,-0.0506887807830409,-0.00444601213232711,0.191921111484745,4.15523940543854,87.939494381988,7.71334510108875,25,0.0497694094285424
