t,x,xdot,xddot,drag_aero,drag_hover,drag_brake,drag_ski,brakegap,Fload_brakes
0.850000000000001,1.49458492148036,3.41038786326204,3.68655302172198,-0.00213995763605975,-0.0625600242839993,-0.012758023418147,-0.0467465796034881,25,-28.9778015416939
0.860000000000001,1.52887283296271,3.44719443320934,3.68065699472994,-0.00218698369365677,-0.063046309715512,-0.012832626890054,-0.0467396867619454,25,-29.1228177580476
0.870000000000001,1.5635285177171,3.48394251766837,3.67480844590294,-0.00223444441905548,-0.0635283711032192,-0.0129061679279168,-0.0467328059582749,25,-29.2652639370837
0.880000000000001,1.59855139323354,3.5206325856192,3.66900679508343,-0.0022823379859636,-0.0640062532356862,-0.0129786628026237,-0.0467259370987207,25,-29.4051772551746
0.890000000000001,1.63394088166328,3.55726510032831,3.66325147091101,-0.00233066259053322,-0.0644800002736521,-0.0130501274925423,-0.0467190800906723,25,-29.5425943203023
0.900000000000001,1.66969640976209,3.59384051943487,3.65754191065551,-0.00237941645097488,-0.0649496557612567,-0.0131205776897176,-0.0467122348426474,25,-29.67755118047
0.910000000000001,1.70581740883444,3.63035929503541,3.65187756005378,-0.00242859780717931,-0.0654152626370248,-0.013190028805917,-0.0467054012642745,25,-29.8100833320687
0.920000000000001,1.74230331467846,3.66682187376691,3.64625787315023,-0.00247820492034678,-0.065876863244612,-0.0132584959785272,-0.0466985792662762,25,-29.9402257281932
0.930000000000001,1.77915356753173,3.70322869688832,3.64068231214099,-0.00252823607262377,-0.06633449934332,-0.0133259940763061,-0.0466917687604529,25,-30.0680127868998
0.940000000000001,1.81636761201798,3.73958020036053,3.63515034722153,-0.00257868956674682,-0.0667882121183849,-0.0133925377049954,-0.0466849696596663,25,-30.1934783993989
0.950000000000001,1.8539448970944,3.77587681492491,3.6296614564378,-0.00262956372569341,-0.067238042191047,-0.0134581412127953,-0.0466781818778237,25,-30.3166559381786
0.960000000000001,1.89188487599993,3.81211896618032,3.62421512554065,-0.00268085689233967,-0.0676840296284048,-0.0135228186957086,-0.0466714053298624,25,-30.4375782650532
0.970000000000001,1.93018700620413,3.84830707465875,3.61881084784343,-0.00273256742912482,-0.0681262139530609,-0.0135865840027537,-0.0466646399317343,25,-30.5562777391333
0.980000000000001,1.96885074935692,3.88444155589958,3.61344812408292,-0.00278469371772212,-0.0685646341525634,-0.0136494507410545,-0.0466578856003912,25,-30.6727862247129
0.990000000000001,2.00787557123903,3.92052282052241,3.60812646228316,-0.00283723415871621,-0.0689993286886488,-0.0137114322808061,-0.0466511422537698,25,-30.7871350990708
1,2.04726094171313,3.95655127429864,3.60284537762243,-0.00289018717128666,-0.0694303355062905,-0.0137725417601241,-0.0466444098107771,25,-30.8993552601837
1.01,2.08676108467573,3.94347731822167,-1.30739560769696,-0.00294355119289772,-0.0698576920425587,-0.0138327920897769,-0.0466376881912767,25,-31.0291773591242
