t,x,xdot,xddot,drag_aero,drag_hover,drag_brake,brakegap,Fload_brakes
0,0,0,0,-0,-0,-0,25,0
0.01,0.0004905,0.0981,9.81,-0,-0,-0,25,-2.52068898393296
0.02,0.00195973192465149,0.195746384930298,9.7646384930298,-4.9240070726576e-08,-0.00401971383903959,-0.000604243747617412,25,-3.70361610469964
0.03,0.00440321445811034,0.292950121761471,9.72037368311731,-1.96050590037126e-07,-0.00794912347589869,-0.00118690033922843,25,-4.86400099634375
0.04,0.0078165742316565,0.389721832947762,9.67717111862911,-4.39104632629892e-07,-0.0117908573307841,-0.00174885457079055,25,-5.99879301639193
0.05,0.0121955424495941,0.486071810639765,9.63499776920029,-7.7712365054303e-07,-0.0155474419957138,-0.00229094813850658,25,-7.1059505773213
0.06,0.0175359516536268,0.582010030166772,9.59382195270073,-1.20887535481254e-06,-0.0192213072067405,-0.00281398211354871,25,-8.18415651190528
0.07,0.0238337326186284,0.677546162833543,9.55361326667704,-1.73317171053146e-06,-0.0228147905243849,-0.00331871925221866,25,-9.23262179690051
0.08,0.0310849113731615,0.772689588073069,9.51434252395257,-2.34886703812623e-06,-0.0263301417422151,-0.00380588615399143,25,-10.250947014671
0.09,0.0392856063384968,0.867449404994004,9.47598169209358,-3.05485621418984e-06,-0.0297695270419559,-0.00427617527883507,25,-11.2390226087639
0.1,0.0484320255802605,0.96183444335873,9.43850383647262,-3.85007296569276e-06,-0.0331350329120958,-0.00473024683424368,25,-12.1969558417707
0.11,0.0585204641671819,1.05585327402555,9.4018830666816,-4.73348825183387e-06,-0.0364286698456684,-0.00516873054155349,25,-13.1250165242884
0.12,0.0695473016317407,1.14951421888621,9.36609448606632,-5.70410872820005e-06,-0.0396523758316993,-0.00559222729032473,25,-14.0235961863763
0.13,0.0815089995278113,1.24282536032793,9.33111414417167,-6.76097528827635e-06,-0.0428080196537279,-0.00600131068885616,25,-14.89317703446
0.14,0.0944020990806858,1.33579455024696,9.2969189919032,-7.9031616776932e-06,-0.0458974040078212,-0.00639652851824803,25,-15.7343081357281
0.15,0.108223218925117,1.42842941863921,9.26348683922512,-9.12977317691348e-06,-0.0489222684515856,-0.00677840409683611,25,-16.5475870101213
0.16,0.12296905292727,1.5207373817915,9.23079631522854,-1.04399453483555e-05,-0.051884292194847,-0.00714743756127881,25,-17.3336453151172
0.17,0.138636368086706,1.61272565009566,9.19882683041607,-1.18328428442174e-05,-0.0547850967419046,-0.00750410707008641,25,-18.093137660166
0.18,0.155222002514715,1.70440123550626,9.16755854106012,-1.33076582715179e-05,-0.0576262483945535,-0.00784886993493074,25,-18.8267328363194
0.19,0.172722863485553,1.79577095866129,9.13697231550283,-1.48636111110999e-05,-0.0604092606244271,-0.00818216368466238,25,-19.5351069249694
0.2,0.19113592555728,1.88684145568404,9.10704970227501,-1.64999466875545e-05,-0.0631355963226073,-0.00850440706658558,25,-20.2189378792513
0.21,0.210458228759116,1.97761918468324,9.07777289992019,-1.82159351872239e-05,-0.0658066699339041,-0.00881600098919683,25,-20.8789012670044
